Id;score;at;content;content_en
238;5;15/09/2025 11:57;👍🏻;👍🏻
239;5;15/09/2025 11:56;top markotop;top markotope
240;3;15/09/2025 11:55;CT VT I was ,, .;CT VT I was ,, .
241;1;15/09/2025 11:55;TOLONG DONG KLIK PESANAN SELESAI JANGAN 1X KLIK LABGSUNG UPDATE. SANGAAAT SERING KEPENCET GK SENGAJAA!!! KASIH DOUBLE VERIFIKASI GITU LHO. GK MUTU.... SCROLL PESANAN AJA GK KESENGAJA KEPENCET PESANAN SELESAI LANGSUNG KELAR SENDIRI...;PLEASE CLICK ON ORDER COMPLETE DON'T 1X CLICK LABGSUNG UPDATE.VERY OFTEN SQUEEZED UNIDENTIFIEDLY!!!THANK YOU DOUBLE VERIFICATION LHO.NOT QUALITY.... JUST SCROLL FOR YOUR ORDER, DON'T ACCIDENTALLY PRESS THE ORDER COMPLETELY IT WILL GET IT DONE...
242;5;15/09/2025 11:54;saya suka belanja di aplikasi shopee semuanya mudah di cari dan kualitas barang bagus pengiriman cepat dan suka di kasih vocer gratis.shopee sll di hati;I like shopping on the Shopee application, everything is easy to find and the quality of the goods is good, delivery is fast and I like being given a free voucher. Shopee is always in my heart
243;5;15/09/2025 11:53;belanja jd mudah,mau apa aja ada, good shopee,klo bs respon seller'y lbih d tinglatkan lg...mksih;Shopping is easy, whatever you want, good shopee, if the seller can respond, I'll leave it again... thanks
244;1;15/09/2025 11:53;shopee .. mulai Gk jelas saldo saya hilang RP 387.390 . mau nuntut kmn..;shopee .. starting It's not clear that my balance is missing Rp. 387 390.do you want to sue me...
245;5;15/09/2025 11:52;saat buka shopee kanapa harus langsung ke live sii jadi nya saat jaringan ga stabil jdi lemot , bisa langsung ke beranda aja ga si;When you open Shopee, why do you have to go straight to Live Sii? So when the network is unstable and slow, can you just go straight to the homepage?
246;1;15/09/2025 11:52;sampah;rubbish
247;5;15/09/2025 11:52;sangat berguna;very useful
248;5;15/09/2025 11:52;alhamdulilah belanja di shopee lancar,barang bagus;Thank God, shopping at Shopee went smoothly, good items
249;5;15/09/2025 11:52;kurirnya ramah . barang nya tepat waktu tiba.;the courier is friendly.the goods arrived on time.
250;3;15/09/2025 11:51;"klw affiliate shopee cara narik komisinya gak pake NPWP aku kasih bintang 5 deh pengin kaya fizzo narik bonus dari membaca bisa langsung narik walaupun ada minimal penarikan setidaknya tidak bikin ribet emak""yang gak mau ribet....";If you're a Shopee affiliate, the way to withdraw your commission doesn't use a NPWP. I'll give you 5 stars. If you want to be like Fizzo, you can withdraw the bonus from reading straight away, even though there is a minimum withdrawal, at least it won't be a hassle for moms who don't want the hassle...
251;5;15/09/2025 11:50;mantab;great
252;5;15/09/2025 11:49;sangat membantu;very helpful
253;5;15/09/2025 11:49;aplikasi shopee memang yang terbaik untuk belanja online sangat populer dengan fitur yang sangat lengkap dan aman.mau beli barang apa Aja semua sudah tersedia the best pokonya👍terimakasih, 🙏☺️ semoga semakin sukses dan tetap jaya selalu🤲;The Shopee application is indeed the best for online shopping, very popular with very complete and safe features. If you want to buy any item, everything is available at the best point👍thank you, 🙏☺️ I wish you more success and always be victorious🤲
254;5;15/09/2025 11:48;Memudahkan yg jauh d pelosok;Makes it easier for those who are far away in remote areas
255;5;15/09/2025 11:46;baik;Good
256;5;15/09/2025 11:45;sangat memudahkan dalam berbelanja ke luar daerah;makes it very easy to shop abroad
257;5;15/09/2025 11:45;Shopee murah bebas ongkir;Cheap Shopee free shipping
258;5;15/09/2025 11:44;bagus untuk belanja;good for shopping
259;5;15/09/2025 11:44;mudah dan menyenangkan;easy and fun
260;5;15/09/2025 11:43;saya sudah 3 tahun pake Shopee, dan alhamdulillah tidak pernah dikecewakan, barang apapun yang saya pesan di Shopee Alhamdulillah, sesuai dengan keinginan saya, terimakasih banyak buat Shopee, 😊🥰;I've been using Shopee for 3 years, and thank God I've never been disappointed, whatever items I order on Shopee, Alhamdulillah, are according to my wishes, thank you very much to Shopee, 😊🥰
261;5;15/09/2025 11:43;shopee toko paten x;shopee patent shop x
262;4;15/09/2025 11:43;aku dari pertama shoppee di rilis langsung selalu belanja di shoppee, tapi udah 3 hari ini fitur cod gak bisa digunakan,aku kira karena toko tidak mengaktifkan fitur cod tapi ternyata semua toko tetap gak bisa, udah ku coba clear cache bahkan nyampe hapus data tapi tetap sama saja. terus aku coba pakai hp temanku ternyata gak bisa juga, tolong dong admin segera diperbaiki.;Since the first Shoppee was released, I have always shopped at Shoppee, but for the past 3 days I can't use the COD feature, I thought it was because the shop didn't activate the COD feature but it turns out all the shops still don't work, I've tried clearing the cache and even deleted the data but it's still the same.Then I tried using my friend's cellphone but it didn't work, please admin fix it immediately.
263;5;15/09/2025 11:43;Belanja di Shopee sangat puas terutama kita pelanggan/pembeli_semua barang aman dan ketat.Shopee Mantap bikin mesan barang nambah lagi Belanja Ya di shopee aja Mantap.👍👍👍;Shopping at Shopee is very satisfying, especially for us customers/buyers_all goods are safe and tight. Shopee is great, making orders for more goods. Shopping is just great at Shopee.👍👍👍
264;5;15/09/2025 11:42;sudah lama pake shopee ,gak pernah ada masalah...terbaik pokonya.;I've been using Shopee for a long time, never had a problem... it's just the best.
265;5;15/09/2025 11:41;shopeeee mantap sekaliiii;shopee is really great
266;5;15/09/2025 11:41;oke baik;Ok, fine
267;1;15/09/2025 11:40;lebih cepat tiktok shop sampe nya;it's better to tiktok the shop until it arrives
268;5;15/09/2025 11:40;ok;ok
269;5;15/09/2025 11:40;mantap;solid
270;5;15/09/2025 11:40;bagus. sopinya;Good.the driver
271;5;15/09/2025 11:39;sangat popular;very popular
272;5;15/09/2025 11:39;sangat simple belanja disopee ,segera atasi klau ada toko yg salah kirim ke pembeli utk pengembalian dananya .sebab pihak Sopee lambat merespon masalah ini;It's very simple to shop at Shopee, immediately resolve it if there is a wrong shop to send it to the buyer for a refund. Because Sopee is slow to respond to this problem
273;4;15/09/2025 11:39;bnyk brng pilihan dan toko pilihan;many optional items and optional characters
274;5;15/09/2025 11:39;Dari dulu selalu belanja di shopee, tapi jasa kirim nya sangat² lambat, sering terlewat dari estimasi bikin gak mood belanja jadinya. kenapa jasa kirim nya pakai yg lelet?;I've always shopped at Shopee for a long time, but the delivery service is very slow, often later than estimated, which makes me not in the mood to shop.Why does the delivery service use a slow one?
275;2;15/09/2025 11:37;tolong inj gmn ya pengrmbalian dana kok barang lambat iya bikin kwatier. klobpositip tfk;Please, how do I get a refund? How come the goods are slow? It's making a lot of money.klobpositive tfk
276;5;15/09/2025 11:37;Ongkir sangat murah untuk pengiriman ke wilayah Indonesia timur .Sangat membantu untuk mendapatkan barang murah .Pengiriman tepat waktu dan sesuai dengan harapan;Very cheap postage for delivery to eastern Indonesia. Very helpful for getting cheap goods. Delivery on time and as expected
277;3;15/09/2025 11:37;"kbcvhn ffs ke (8'&_))'""-D";"kbcvhn ffs ke (8'&_))'""-D"
278;5;15/09/2025 11:37;mantul;helpful
279;5;15/09/2025 11:36;Kerennn Limit naikin donk ka;Cool, increase the limit, bro
280;5;15/09/2025 11:36;mudah dan cepat;easy and fast
281;5;15/09/2025 11:35;shopee paling keren sangat membantu dalam belanja dan menjual barang👍👍🤝;The coolest shopee is very helpful in shopping and selling goods👍👍🤝
282;5;15/09/2025 11:33;shopee mantap banyak diskonnya;Shopee is great with lots of discounts
283;5;15/09/2025 11:31;tempat membeli sangat membantu sekali buat kita yang malas keluar rumah;the place to buy is very helpful for those of us who are lazy to leave the house
284;5;15/09/2025 11:30;mantapp;strong
285;5;15/09/2025 11:30;pelayanan nya baik dan sangat respon apabila kita ada masalah dg penjual produk;The service is good and very responsive when we have a problem with the product seller
286;5;15/09/2025 11:29;sangat terbantu dengan ada nya apk shopee;It really helps with the Shopee apk
287;5;15/09/2025 11:27;mempermudah belnja;makes shopping easier
288;5;15/09/2025 11:27;semoga banyak penawaran promo dan berkualitas produk dan amanah seller nya Aamiin;Hopefully there will be lots of promotional offers and quality products and trustworthy sellers, Aamiin
289;5;15/09/2025 11:26;Shopee ok...;Shopee ok...
290;3;15/09/2025 11:23;banyak penjual aki gs astra kw tolong di tindak;There are many sellers of GS Astra batteries, please follow up
291;5;15/09/2025 11:23;kenapa ga bisa checkout k16 ya ?;why can't I checkout k16?
292;5;15/09/2025 11:22;dengan aplikasi shopee sangan membantu kegiatan usaha saya dan sangat mempermudah semuanya;The Shopee application really helps my business activities and makes everything very easy
293;5;15/09/2025 11:21;ok. mmmaannntaabbb 👍👍;okaymmmaannntaabbb 👍👍
294;5;15/09/2025 11:20;shopee terbaik;best shopee
295;5;15/09/2025 11:20;sangat membantu;very helpful
296;5;15/09/2025 11:19;good;good
297;5;15/09/2025 11:19;mantap;solid
298;5;15/09/2025 11:17;mantap selalu banyak gratisan;great, always lots of freebies
299;5;15/09/2025 11:17;saya sangat terbantu dengan adanya shopee, memudahkan dalam berbelanja, dan saya usulkan shopee bisa menindak toko yang menjual barang tidak sesuai dengan pesanan, dan memperluas llagi barang barang yang dibutuhkan konsumen;I am really helped by the existence of Shopee, it makes shopping easier, and I suggest that Shopee can take action against shops that sell goods that do not match orders, and expand more goods that consumers need.
300;5;15/09/2025 11:17;murah, cepat,tepat dan aman;cheap, fast, precise and safe
301;5;15/09/2025 11:16;wow;wow
302;5;15/09/2025 11:16;mantap;solid
303;5;15/09/2025 11:15;bagus;Good
304;4;15/09/2025 11:15;kulii;knee
305;5;15/09/2025 11:15;mantap;solid
306;5;15/09/2025 11:14;jiooosss;jiooosss
307;5;15/09/2025 11:13;tidak salah beli di shopee sangat memuaskan;It's not wrong to buy at shopee, it's very satisfying
308;3;15/09/2025 11:12;tolong diperbaiki lagi untuk transfer ke bank, sering terjadi masalah seperti no rek tidak sesuai;Please fix it again for bank transfers, problems often occur such as the account number not matching
309;5;15/09/2025 11:12;bagus sih gatau seterus nya kalo sekarng aman sial harga tinggal mengsesuway kan pengluaran nya;It's good, I don't know what happens next, if it's safe now, damn, the price just depends on the expenses.
310;5;15/09/2025 11:12;situs belanja yg mudah2an selalu exis dan tidak mengecewakan pelanggan, semoga selalu komitmen dengan program2nya.;easy shopping site that always exists and doesn't disappoint customers, hopefully it will always be committed to its programs.
311;1;15/09/2025 11:12;bisa diem?;can you shut up?
312;5;15/09/2025 11:11;ok;ok
313;1;15/09/2025 11:10;buka awal kepana dimulai dari video dulu. bukannya ke home dulu malah orang live dulu;Open the beginning, starting from the video first.Instead of going home first, people go live first
314;5;15/09/2025 11:10;sesuai kesepakatan;according to agreement
315;5;15/09/2025 11:08;Azr;Azr
316;5;15/09/2025 11:08;SERU BELANJA;SHOPPING FUN
317;1;15/09/2025 11:07;saya kasih satu dulu belum ada penyelesaian tentang akun saya yang lupa;I'll give you one first. There's still no resolution regarding my forgotten account
318;5;15/09/2025 11:07;bagus;Good
319;5;15/09/2025 11:05;oke..sip;okay..sip
320;5;15/09/2025 11:04;Sangat bagus apikasi ini untukmu berbelanja,udh pasti harga nya terjangkau ya,yu sekarang kita pake shopee;This application is very good for shopping, of course the prices are affordable, so now we use Shopee
321;5;15/09/2025 11:03;bagus bener aplikasi nya;the application is really good
322;5;15/09/2025 11:02;membantu untuk menjual beli barang;help to sell buy goods
323;1;15/09/2025 11:01;ga tau sekarang shopee aku ga bisa untuk coddd tolong di perbaiki donkkk shopeeeee!!!!!!!;I don't know, now shopee I can't code, please fix it, shopeeee!!!!!!
324;5;15/09/2025 11:01;bagus dah cepat sampai;good, it arrived quickly
325;5;15/09/2025 11:00;Terima kasih;Thank You
326;5;15/09/2025 11:00;shopee mantap;great shopee
327;1;15/09/2025 10:59;semakin aneh. ga dapat voucher ongkir gratis .. dan untuk kurir shopee express kupang kalian itu kenapa waktu sehari saja sudah return barang;getting weirder.I didn't get a free shipping voucher... and for your Shopee Express Kupang courier, why did it take just one day for the goods to be returned?
328;1;15/09/2025 10:59;ekspedisi yang lama tolong jangan di rekomendasikan;Please don't recommend long expeditions
329;4;15/09/2025 10:59;it's ok good job;it's ok good job
330;5;15/09/2025 10:58;👍👍👍;👍👍👍
331;4;15/09/2025 10:58;Masalah transfer, pakai shope pay jelas mudah dan cepat. mantap;Transfer problems, using Shope Pay is clearly easy and fast.Excellent
332;5;15/09/2025 10:57;trm ksh sophie;trm ksh sophie
333;5;15/09/2025 10:57;sangat membantu;very helpful
334;5;15/09/2025 10:56;good;good
335;1;15/09/2025 10:55;update mulu tolol gaada peningkatan sama aja;Updates are always stupid, there are no improvements, just the same
336;4;15/09/2025 10:55;lebih paik lagi;even better
337;5;15/09/2025 10:53;ok makasih;okay thank you
338;5;15/09/2025 10:52;apk ini sangat membatu;this apk is very petrifying
339;1;15/09/2025 10:51;jelek sekali;ugly as hell
340;4;15/09/2025 10:48;Spinjam saya ditolak, padahal selama 5 bln terakhir gk ada telat bayar.;My loan was rejected, even though for the last 5 months there have been no late payments.
341;5;15/09/2025 10:47;Mantap;Great
342;5;15/09/2025 10:46;sangat membantu ,buat kaum ibu' yg GK bisa nawar;Very helpful, for mothers who can't bargain
343;5;15/09/2025 10:45;mantaplah pokoknya;just fine
344;5;15/09/2025 10:45;barang original, pengiriman cepat dan tepat waktu, pengembalian barang dan pengembalian dana juga cepat.. makasih shopee;original goods, fast and on time delivery, return of goods and refunds also fast... thanks shopee
345;5;15/09/2025 10:45;sangat murah;very cheap
346;5;15/09/2025 10:44;aplikasinya mantap..jossss...;the application is great..jossss...
347;5;15/09/2025 10:44;bagus,dan memudahkan kita mencari produk yg di inginkan;good, and makes it easier for us to find the product we want
348;5;15/09/2025 10:43;sangat bagus cs shope nya pun gercep menanggapi masalah customer nya;Very good, Shopee CS is quick to handle customer problems
349;5;15/09/2025 10:41;🤩🤩;🤩🤩
350;5;15/09/2025 10:41;𝑺𝒉𝒐𝒑𝒆𝒆 𝑴𝒆𝒎𝒂𝒏𝒈 𝑶𝑲;𝑺𝒉𝒐𝒑𝒆𝒆 𝑴𝒆𝒎𝒂𝒏𝒈 𝑶𝑲
351;5;15/09/2025 10:41;sangat puas sekali pakai shopee g bkln nyesel;Very satisfied with using Shopee, you won't regret it
352;5;15/09/2025 10:40;mantap semoga lebih banyak gratis ongkirnya😁;great, hopefully more free shipping😁
353;1;15/09/2025 10:40;Setiap hampir selesai downlotad tiba tiba berhenti sendiri,tolong di perSbaiki!;Every time the download is almost finished, it suddenly stops by itself, please fix it!
354;5;15/09/2025 10:40;bagus;Good
355;5;15/09/2025 10:40;belanja sat set gapake ribet;Shopping for a set doesn't have to be complicated
356;5;15/09/2025 10:39;belanja murah, berkualitas dan pastinya sering gratis Ongkir 😁😁;Cheap shopping, quality and of course often free shipping 😁😁
357;1;15/09/2025 10:39;shopee spx sering banget menunda nunda pengantran barang, dan menunda sepihak, silahkan cek penilaian spx di goole kebanyak ulasan negatif... mengecewakan, kritik cuma masuk telinga kanan keluar telinga kiri aja, gak ada untuk ketegasan kurir spx nya yang suka menunda pengiriman sepihak...;Shopee Spx often delays the delivery of goods, and delays unilaterally, please check the STX rating on Google, there are lots of negative reviews... disappointing, criticism only goes in the right ear and out the left, nothing about the assertiveness of the STX courier who likes to delay delivery unilaterally...
358;1;15/09/2025 10:37;makin lama makin ngaco pengiriman molor terussss;It's getting more and more annoying that the delivery keeps getting delayed
359;5;15/09/2025 10:36;shopee oke lah;shopee is okay
360;3;15/09/2025 10:36;jangan kasi biaya admin gede buat para penjual saya merasa rugi😞;Don't give big admin fees to make my sellers feel at a loss😞
361;5;15/09/2025 10:35;👍👍👍;👍👍👍
362;5;15/09/2025 10:35;sesuai harga ,di kikis sedikit pake ampelas ,,;according to the price, sanded it a little with sandpaper...
363;5;15/09/2025 10:34;pertahankan gatis ongkir nya;keep the shipping free
364;3;15/09/2025 10:34;Ini shopee punya masalah apa sih. Klo ajukan pengembalian dana error mulu pas masukin pict atau video. Tolong diperbaiki. Ribet kali;What problem does Shopee have?If you apply for a refund, the error occurs when you enter the image or video.Please fix it.Complicated times
365;1;15/09/2025 10:33;tidak bisa menangani return sehingga merugikan pembeli,,lambat dalam penanganan return;Translation Error: The read operation timed out
366;5;15/09/2025 10:33;mantap;solid
367;5;15/09/2025 10:33;lebih nyaman belanjan online;more comfortable shopping online
368;5;15/09/2025 10:33;belanja di shopee tepat waktu sesuai estimasi dan fitur lacak paket saya suka 😄👍🏻;shopping at Shopee on time according to estimates and I like the package tracking feature 😄👍🏻
369;5;15/09/2025 10:32;membantu banget;very helpful
370;5;15/09/2025 10:32;mantap;solid
371;5;15/09/2025 10:31;mantaaap 👍👍👍;mantaaap 👍👍👍
372;5;15/09/2025 10:31;tepat waktu;on time
373;5;15/09/2025 10:30;suka suka banget sama shopey;I really like Shopee
374;5;15/09/2025 10:30;Mohon maaf kemarin sempat memberikan nilai negatif pada aplikasi ini, setelah banyak pembaruan berikutnya aplikasi ini berjalan normal kembali di gawai saya, tanks Shopee.;Sorry, yesterday I gave a negative rating to this application, after many subsequent updates this application is running normally again on my device, Shopee tanks.
375;5;15/09/2025 10:29;mantap;solid
376;5;15/09/2025 10:28;topp;topp
377;5;15/09/2025 10:28;APLIKASI TERBAIK SAAT INI;THE BEST APPLICATION TODAY
378;5;15/09/2025 10:28;semoga Shopee kaya selalu dan amanah;May Shopee always be rich and trustworthy
379;5;15/09/2025 10:27;Mudah gak ribet sangat membantu memenuhi semua kebutuhan;Easy, not complicated, really helps meet all your needs
380;5;15/09/2025 10:27;barang bagus;good stuff
381;5;15/09/2025 10:26;mantap;solid
382;5;15/09/2025 10:26;memudahkan kita dan tidak capai keliling nunggu aja 😁;makes it easier for us and we don't have to wait around waiting 😁
383;5;15/09/2025 10:26;the best;the best
384;5;15/09/2025 10:26;keren;keren
385;5;15/09/2025 10:26;mantap;solid
386;5;15/09/2025 10:25;belanja lebih mudah;shopping easier
387;5;15/09/2025 10:24;👍🏻;👍🏻
388;5;15/09/2025 10:23;(^.^)＼(_ _)(*^-^)／＼(*^-^*)／＼(^-^*)~>゜)ーーー(ФωФ)(-)_(-)(=^ェ^=)(≡・x・≡).。o○～～～～～(m--)m>゜))))彡⊂(^(工)^)⊃>゜))彡>゜))彡⊂(^(工)^)⊃>゜))彡⊂(^(工)^)⊃⌒(ё)⌒>゜))))彡￣(=∵=)￣⊂(^(工)^)⊃￣(=∵=)￣⌒(ё)⌒~>゜)ーーー⊂(^(工)^)⊃>゜))))🤮😶‍🌫️🤣🤑🤩🥰😇🥶💩💩💩💩💩💩☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️💩💩🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱😤😱😖😖😤😖😡😡😡😤😖😫🤡🥱💩😫😩😈😈👻😻👺😱😭😖😣😨;(^.^)＼(_ _)(*^-^)／＼(*^-^*)／＼(^-^*)~>゜)ーーー(ФωФ)(-)_(-)(=^え^=)(≡・x・≡).。o○～～～～(m--)m>゜))))彡⊂(^(工)^)⊃>゜))彡>゜))彡⊂(^(工)^)⊃>゜))彡⊂(^(工)^)⊃⌒(ё)⌒>゜))))彡￣(=∵=)￣⊂(^(工)^)⊃￣(=∵=)￣⌒(ё)⌒~>゜)ーー⊂(^(工)^)⊃>゜))))🤮😶‍🌫️🤣🤑🤩🥰😇🥶💩💩💩💩💩💩☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️💩💩🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱😤😱😖😖😤😖😡😡😡😤😖😫🤡🥱💩😫😩😈😈👻😻👺😱😭😖😣😨
389;5;15/09/2025 10:23;sangat membantu cari barang gampang;very helpful in finding items easily
390;5;15/09/2025 10:23;Ya bagus;Yes, good
391;5;15/09/2025 10:22;bagus sesuai dengan pesanan;good according to order
392;5;15/09/2025 10:22;shopee sangat membantu saya dalam berbelanja berbagai kebutuhan;Shopee really helps me in shopping for various needs
393;4;15/09/2025 10:20;sangat baik;Very good
394;5;15/09/2025 10:19;aku suka sama shope hehe;I like the same shope hehe
395;5;15/09/2025 10:18;mantap;solid
396;1;15/09/2025 10:18;saya kecewa dengan spx hemat, hingga barang akhirnya saya tolak....pasalnya ketika saya menunggu paket yg lama datang dan ketika sudah sampai di agen paket itu akan saya ambil langsung supaya tidak usah menunggu kurir yg terlalu lama, malah sama petugas di agen tidak boleh di ambil padahal hari ini adalah tgl terakhir estimasi paket. katanya akan di antarkan besok h+1 dari tgl estimasi....saya sangat kecewa sebagai pelanggan gold shoppe saya sepertinya tidak akan lagi belanja di shopee;I was disappointed with the SFX Savings, until I finally rejected the item... because I was waiting for a long time for the package to arrive and when it arrived at the agent I would take the package straight away so I didn't have to wait too long for the courier, in fact the officer at the agent didn't allow it to be taken even though today was the last estimated date for the package.it said it would be delivered tomorrow day + 1 from the estimated date....I am very disappointed as a Gold Shoppe customer, I don't think I will shop at Shopee anymore
397;5;15/09/2025 10:17;best app;best app
398;5;15/09/2025 10:17;puas banget dengan aplikasi ini;very satisfied with this application
399;5;15/09/2025 10:15;terimakasih banyak shopee;thank you very much shopee
400;3;15/09/2025 10:15;lemotttt sering ngelagggg;slow, often lags
401;5;15/09/2025 10:14;mantap sesuai dengan gambar.. tks;great, according to the picture... thanks
402;5;15/09/2025 10:13;mantap;solid
403;5;15/09/2025 10:13;aplikasi nya sangat bagus;the application is very good
404;1;15/09/2025 10:12;HP saya rusak..ganti hp baru'..tapi susah sekali masuk ke akunt sendiri..pakai verifikasi lint..lanjut wa/SMS. tapi tak ada yg masuk.. terakhir muncul Anda sudah berulang kali login tapi tak masuk.. lama lama sistem shope ribet nggak logis;My cellphone is broken..replace a new cellphone'..but it's very difficult to enter my own account..use Lint verification..continue wa/SMS.but no one is logging in.. the last time it appears you have logged in several times but can't log in.. it's been a long time since the shope system has been complicated and doesn't make sense
405;5;15/09/2025 10:11;good;good
406;5;15/09/2025 10:10;Apk belanja yang sangat direkomendasikan;Highly recommended shopping apk
407;5;15/09/2025 10:09;mantab..sempurna 👍;great..perfect 👍
408;5;15/09/2025 10:08;maju trus!;keep going!
409;1;15/09/2025 10:07;pengiriman todak sampai pengembalian sulit banget ribet susah klarivikasi gak kelar2 kecewa saya barang gak datang uang gak kembali hilang sudah uang saya;The delivery didn't arrive, the return was very difficult, it was difficult, the clarification didn't work, I was disappointed, the goods didn't arrive, my money didn't come back, my money was gone.
410;5;15/09/2025 10:06;asli bebas ongkir;original free shipping
411;5;15/09/2025 10:06;mantap;solid
412;5;15/09/2025 10:05;baguss;nice
413;5;15/09/2025 10:04;aplikasi baik;good application
414;5;15/09/2025 10:04;josssss;josssss
415;2;15/09/2025 10:04;ini apk makin kesini makin kaga jelas dah, dibuka lemot bgt untuk nntn live lama bgt atau vidio pun kaga nampilin vidionya.;The more this APK goes on, the less clear it is, opening it is very slow to watch live for a long time or the video won't even show the video.
416;5;15/09/2025 10:03;Shoope sangat bertanggung jawab dalam pengiriman barang saya;Shopee is very responsible in shipping my goods
417;1;15/09/2025 10:03;saya membeli sebuah produk dengan harga 25.991 sedangkan uang saya di shopee pay sisa 26.467 kok di sistem nya bilang uang saya kurang kok bisa ?????;I bought a product for 25,991 while I had 26,467 left in Shopee Pay. How come the system says I don't have enough money? How come????
418;5;15/09/2025 10:02;mantapp, apk mempermudah jual dan beli, makin semngatt mau daftar shoppe food;great, the apk makes buying and selling easier, more enthusiastic about registering for a food shop
419;5;15/09/2025 10:02;ok;ok
420;5;15/09/2025 10:02;Lumayan bagus;Pretty good
421;5;15/09/2025 10:00;mudah banget;very easy
422;5;15/09/2025 09:59;mantap;solid
423;5;15/09/2025 09:57;selama ini shopee masih yang terbaik , ongkir murah dan produk selalu sesuai ,, trima kasih shopee;So far, Shopee is still the best, cheap shipping and always suitable products, thank you Shopee
424;5;15/09/2025 09:57;transaksi belanja di shopee memang murah meria bisa membantu,yang uang nya pas pasan di kantong,udh pengiriman nya cepat,harga nya terjangkau;Shopping transactions at Shopee are indeed cheap and can help, the money fits comfortably in your pocket, the delivery is fast, the price is affordable
425;5;15/09/2025 09:57;sapik;Sapik
426;5;15/09/2025 09:56;keren;keren
427;5;15/09/2025 09:55;barang nya bagu bagus,mantap;the goods are good, solid
428;5;15/09/2025 09:54;bagus;Good
429;5;15/09/2025 09:54;terbaik dari yang terbaik;the best of the best
430;5;15/09/2025 09:54;pesanan sesuai ekspetasi, cepat, dan mudah;orders according to expectations, fast and easy
431;5;15/09/2025 09:53;saya tidak tau cara membuat YouTube menyingkrongkan ke aplikasi shopeeindonesia;I don't know how to make YouTube sync to the Indonesian Shopee application
432;1;15/09/2025 09:53;pengiriman sangat lambat makin ga jelas;Delivery is very slow and unclear
433;5;15/09/2025 09:53;ok murah terpercaya;OK, cheap, reliable
434;1;15/09/2025 09:52;game block blast yg dibuat untuk mendapatkan koin Shopee di atur supaya pemain tidak bisa menang saat sudah hampir mendekati target point, sepelit itukah shoope?;The block blast game made to get Shopee coins is set so that players can't win when they are almost close to the target point, is that stingy shoope?
435;5;15/09/2025 09:51;shopi barang nya bagus bagus aku suka belanja online.sangat membantu;shopee, the goods are good, I like shopping online. Very helpful
436;5;15/09/2025 09:47;bagus harganya murah tapi biasaa dapat barang yang ngak sesuai tapi bagus karena lengkap dan murah;It's good that the price is cheap but you can get items that are not suitable but are good because they are complete and cheap
437;5;15/09/2025 09:47;bagus;Good
438;4;15/09/2025 09:47;Aplikasi ok;Application ok
439;1;15/09/2025 09:47;aplikasi scam jangan didownload!;scam app don't download!
440;5;15/09/2025 09:47;nice bagus sekalihhh everibadyyy;nice very good ahh everybody
441;5;15/09/2025 09:46;Update Selalu Apk Terbaru Kamu;Always Update Your Latest Apk
442;5;15/09/2025 09:45;mantap;solid
443;5;15/09/2025 09:45;anti ribed dan mudah aplikasinya digunakan;anti-ribbed and easy to use
444;5;15/09/2025 09:42;bagus banget terus membantu;it's really good to continue to help
445;4;15/09/2025 09:42;Adain tema gelap lah, gw sbgai user tema gelap liat tema terang tuh buta, dan tolong kurangi lag aplikasinya;Have a dark theme, as a dark theme user I'm blind when I see the light theme, and please reduce the application lag
446;5;15/09/2025 09:42;tadinya aku kasi bintang 1 karna sering eror , skrang aku naikin lagi jadi bintang 5 karna shope selalu amanah dan ga sering eror lagi;Previously I gave it 1 star because it often had errors, now I'm raising it again to 5 stars because the shop is always trustworthy and doesn't often have errors anymore.
447;5;15/09/2025 09:42;bagi pelanggan yg penting barang yg dipesan, sesuai...;For customers, it is important that the goods ordered are appropriate...
448;5;15/09/2025 09:42;betssss;betssss
449;5;15/09/2025 09:42;nice;nice
450;5;15/09/2025 09:39;shopee memang terbaik. pengiriman terjamin cepat dan bagus;Shopee is the best.Guaranteed fast and good delivery
451;4;15/09/2025 09:39;hargal 108000. sama 67 ribu sama ,, sama.;price 108000. same 67 thousand same ,, same.
452;5;15/09/2025 09:38;paling bagus;the best
453;3;15/09/2025 09:38;aku coba dulu;I'll try first
454;5;15/09/2025 09:38;APK shopee mantap pesan apa saja jadi mudah;Shopee APK is great, ordering anything is easy
455;2;15/09/2025 09:37;tiap buka kok diarahin ke video langsung mana susah mattiinya tetep bunyi terus suara videonya 😂,buka menu paylater sama sppinjam selalu stuck gak ada reaksi,, gak bisa smooth..sangat. mengganggu sekali dan bikin enggak nyaman..ayo shopee benahin aplikasimu biar ringan jangan banyak alasan .biar kita pengguna makin betah menggunakannya;Every time I open it, I'm directed to the video directly, which is difficult, but the video still keeps sounding 😂, opening the Paylater and Spinjam menus always gets stuck, there's no reaction, it can't be smooth... really.it's really annoying and makes you uncomfortable... come on, shopee fix your application so it's light, don't make too many excuses. so that we users feel more comfortable using it
456;5;15/09/2025 09:36;sangat mudah untuk belanja kebutuhan;very easy to shop for necessities
